,text,start,duration,end
119,"So at index 0, it has the value 1, right,",334.97,2.28,337.25
120,because it's the first element in the list.,337.25,2.52,339.77
121,And the second thing that represents a list,339.77,3.24,343.01
122,"is going to be this second part, which is a pointer.",343.01,4.98,347.99
123,And internally this pointer is going,347.99,1.7,349.69
124,to tell Python where is the memory,349.69,2.73,352.42
125,location in the computer where you can access the element,352.42,5.19,357.61
126,index 1.,357.61,1.32,358.93
127,"So it's just essentially going to be a chain,",358.93,3.39,362.32
128,going from one index to the other.,362.32,2.02,364.34
129,"And at the next memory location you have the value at index 1,",364.34,4.165,368.505
130,and then you have another pointer,368.505,1.375,369.88
131,that takes you to the location in memory,369.88,1.74,371.62
132,where the index 2 is located.,371.62,2.82,374.44
133,And in index 2 you have the value and then,374.44,1.89,376.33
134,"the next pointer, and so on and so on.",376.33,3.16,379.49
135,So this is how Python internally represents a list.,379.49,4.26,383.75
136,OK?,383.75,1.81,385.56
137,"How you manipulate lists, we've done this a lot, right?",385.56,2.78,388.34
138,"You can index into a list, you can add two lists together,",388.34,6.07,394.40999999999997
139,"you can get the length, you can append to the end of a list,",394.41,2.75,397.16
140,"you can sort a list, reverse a list, and so many other things,",397.16,2.7,399.86
141,right?,399.86,0.84,400.7
142,So these are all ways that you can,400.7,1.416,402.116
143,interact with the list object as soon as you've created it.,402.116,3.114,405.22999999999996
144,"So notice both of these, the internal representation",405.23,3.36,408.59000000000003
145,"and how you manipulate lists, you",408.59,1.68,410.27
146,don't actually know internally how,410.27,3.33,413.59999999999997
147,"these are represented, right?",413.6,1.47,415.07000000000005
148,How did whoever wrote the list class,415.07,2.64,417.71
149,decide to implement a sort.,417.71,1.41,419.12
150,We don't know.,419.12,1.32,420.44
151,You also weren't aware of how these lists were represented,420.44,2.94,423.38
152,internally.,423.38,0.51,423.89
153,And you didn't need to know that.,423.89,1.38,425.27
154,That's the beauty of object oriented programming,425.27,3.03,428.29999999999995
155,and having these data abstractions.,428.3,2.84,431.14
156,The representations are private of these objects,431.14,2.73,433.87
157,"and they are only known by what you can find out how it's done,",433.87,4.08,437.95
158,but they only should be known by whoever implemented them.,437.95,3.49,441.44
159,"You, as someone who uses this class,",441.44,1.7,443.14
160,doesn't really need to know how a list is represented,443.14,2.4,445.53999999999996
161,internally in order to be able to use it,445.54,2.35,447.89000000000004
162,and to write cool programs with them.,447.89,3.09,450.97999999999996
163,OK?,450.98,1.45,452.43
164,So just find a motivation here before we,452.43,3.5,455.93
165,start writing our own types of objects,455.93,2.67,458.6
166,is the advantages of object oriented programming,458.6,2.73,461.33000000000004
167,is really that you're able to bundle,461.33,2.94,464.27
168,"this data, bundle some internal representation,",464.27,3.35,467.62
169,and some ways to interact with a program into these packages.,467.62,4.14,471.76
170,"And with these packages, you can create objects",471.76,3.544,475.304
171,and all of these objects are going,475.304,1.416,476.71999999999997
172,to behave the exact same way.,476.72,1.208,477.92800000000005
173,They're going to have the same internal representation,477.928,2.262,480.19
174,and the same way that you can interact with them.,480.19,3.07,483.26
175,"And ultimately, this is going to contribute to the decomposition",483.26,4.89,488.15
176,and abstraction ideas that we talked about when,488.15,3.69,491.84
177,we talked about functions.,491.84,1.387,493.227
178,And that means that you're going to be,493.227,1.583,494.81
179,able to write code that's a lot more reusable and a lot easier,494.81,4.47,499.28000000000003
180,to read in the future.,499.28,1.53,500.80999999999995
181,OK.,500.81,2.49,503.3
182,"So just like when we talked about functions,",503.3,2.85,506.15000000000003
183,we're going to sort of separate the code,506.15,2.1,508.25
184,that we talk about today into code where you implement a data,508.25,6.21,514.46
185,type and code where you use an object that you create.,514.46,5.849,520.3090000000001
186,OK?,520.309,0.541,520.85
187,"So remember when we talked about functions,",520.85,1.791,522.6410000000001
188,"you were thinking about it in terms of writing a function,",522.641,2.986,525.627
189,so you had to worry about the details of how,525.627,1.833,527.4599999999999
190,you implement a function.,527.46,1.64,529.1
191,And then you had to worry about just,529.1,1.65,530.75
192,"how to use a function, right?",530.75,1.39,532.14
193,So it's sort of the same idea today.,532.14,3.49,535.63
194,So when you're thinking about implementing your own data,535.63,5.18,540.81
195,"type, you do that with this thing called a class.",540.81,3.94,544.75
196,"And when you create a class, you're",548.5,1.95,550.45
197,basically going to figure out what name you,550.45,1.82,552.2700000000001
198,want to give your class and you're,552.27,1.63,553.9
199,going to find some attributes.,553.9,2.156,556.0559999999999
200,And attributes are going to be the data,556.056,1.624,557.6800000000001
201,representation and ways that you can interact with your object.,557.68,4.184,561.8639999999999
202,"So you, as the programmer of this class,",561.864,1.666,563.5300000000001
203,are going to decide how you want people,563.53,2.07,565.6
204,to interact with the object and what data this object,565.6,4.18,569.78
205,is going to have.,569.78,3.08,572.86
206,"So for example, someone wrote code",572.86,2.42,575.28
207,"that implements a list class, right,",575.28,2.1,577.38
208,and we don't actually know how that was done.,577.38,2.49,579.87
209,But we can find out.,579.87,3.31,583.18
210,So creating the class is implementing the class,583.18,4.53,587.7099999999999
211,and figuring out data representation and ways,587.71,1.98,589.69
212,to interact with the class.,589.69,2.58,592.2700000000001
213,"Once that's done, you can then use your class.",592.27,3.3,595.5699999999999
214,And you use the class by creating,595.57,2.34,597.9100000000001
215,new instances of the class.,597.91,4.254,602.164
216,"So when you create a new instance,",602.164,1.416,603.58
217,you essentially create a new object,603.58,2.13,605.71
218,"that has the type, the name of your class.",605.71,3.72,609.4300000000001
219,And you can create as many objects as you'd like.,609.43,2.13,611.56
220,You can do all the operations that you've,611.56,2.82,614.38
221,defined on the class.,614.38,2.28,616.66
222,"So for example, someone wrote the code",616.66,1.995,618.655
223,to implement list class and then you can just,618.655,1.875,620.53
224,use the list class like this.,620.53,1.39,621.92
225,"You can create a new list, you can get the length pf the list,",621.92,3.41,625.3299999999999
226,"you can append to the end of the list, and so on and so on.",625.33,2.99,628.32
227,"So let's start defining our own types, OK?",633.55,4.29,637.8399999999999
228,"So now you're going to define classes,",637.84,1.962,639.802
229,you're going to write classes which,639.802,1.458,641.26
230,are going to define your own types of objects.,641.26,4.4,645.66
231,So for today's lecture we're going,645.66,2.09,647.75
232,to look at code that's going to be,647.75,2.49,650.24
233,in the context of a coordinate object.,650.24,2.97,653.21
234,And a coordinate object is essentially,653.21,1.65,654.86
235,going to be an object that's going to define,654.86,8.12,662.98
236,a point in an xy plane.,662.98,4.42,667.4
237,"So x, y is going to be a coordinate in a 2D plane.",667.4,4.652,672.052
238,So we're going to write code that's,672.052,1.458,673.51
239,going to allow us to define that kind of object.,673.51,2.375,675.885
240,So the way we do that is we have to define a class.,678.83,3.974,682.8040000000001
241,"So we have to tell Python, hey, I'm defining my own object",682.804,2.416,685.22
242,type.,685.22,1.05,686.27
243,So you do that with this class key word.,686.27,1.8,688.0699999999999
244,"So you say class, then you say the name of your type.",688.07,3.81,691.88
245,"In this case, we're creating a type called coordinate.",691.88,2.58,694.46
246,"Just like we had type list, type string, and so on.",694.46,2.71,697.1700000000001
247,This is going to be a type called coordinate.,697.17,3.45,700.62
248,"And then in parentheses here, you",700.62,1.5,702.12
249,put what the parents of the class are.,702.12,2.37,704.49
250,"For today's lecture, the parent of the classes",704.49,4.1,708.59
251,"are going to be this thing called object,",708.59,1.89,710.48
252,and object is the very basic type in Python.,710.48,5.7,716.1800000000001
253,It is the most basic type in Python.,716.18,2.07,718.25
254,And it implements things like being able to assign variables.,718.25,3.96,722.21
255,"So really, really basic operations",722.21,1.77,723.98
256,that you can do with objects.,723.98,2.76,726.74
257,So your coordinate is therefore going,726.74,1.59,728.33
258,to be an object in Python.,728.33,1.615,729.945
259,All right.,732.63,0.5,733.13
260,So we've told Python we wanted to define an object.,733.13,3.45,736.58
261,So inside the class definition we're going to put attributes.,736.58,2.89,739.47
262,So what are attributes?,739.47,2.35,741.82
263,Attributes are going to be data and procedures that,741.82,2.79,744.61
264,"belong to the class, OK?",744.61,2.39,747.0
265,Data are going to be the data representations and procedures,747.0,2.95,749.95
266,are going to be ways that we can interact with the object.,749.95,3.68,753.63
267,The fact that they belong to the class,753.63,2.28,755.91
268,means that the data and the procedures that we write,755.91,2.76,758.67
269,are only going to work with an object of this type.,758.67,2.82,761.49
270,OK.,761.49,0.78,762.27
271,If you try to use any of the data or the procedures,762.27,2.832,765.102
272,"with an object of a different type,",765.102,1.458,766.56
273,you're going to get an error because these data,766.56,4.47,771.03
274,and these attributes will belong to this particular class.,771.03,5.85,776.88
275,"So the data attributes is, what is the object, right?",779.41,5.4,784.81
276,What is the data that makes up the object?,784.81,2.68,787.4899999999999
277,"So for our coordinate example, it's",787.49,1.73,789.22
278,going to be the x and y values for coordinate.,789.22,3.204,792.424
279,"We can decide that can be ints, we",792.424,1.416,793.84
280,"can decide that we can let them be floats,",793.84,2.07,795.9100000000001
281,but it's going to have one value for the x-coordinate,795.91,3.09,799.0
282,and one value for the y-coordinate.,799.0,1.757,800.757
283,So those are data attributes.,803.96,1.72,805.6800000000001
284,And procedure attributes are better known as methods.,805.68,3.93,809.6099999999999
285,And you can think of a method as a function.,809.61,2.479,812.089
286,Except that it's a function that only,812.089,1.541,813.6300000000001
287,works with this particular type of object.,813.63,3.7,817.33
288,"So with a coordinate object, in this case.",817.33,3.58,820.9100000000001
289,So the methods are going to define how you,820.91,1.75,822.66
290,can interact with the object.,822.66,1.44,824.1
291,"So in a list, for example, we've said",824.1,1.775,825.875
292,"that you can append an item to the end of the list,",825.875,2.125,828.0
293,"we can sort a list, things like that.",828.0,2.52,830.52
294,"So when you're defining methods, you're",830.52,2.07,832.59
295,defining ways that people can interact with your object.,832.59,2.53,835.12
296,"So for example, for a coordinate object,",835.12,1.68,836.8
297,we can say that we can take the distance between two,836.8,2.39,839.1899999999999
298,coordinate points.,839.19,1.46,840.6500000000001
299,OK?,840.65,0.73,841.38
300,And that's going to be a way that you can interact,841.38,2.083,843.463
301,with two coordinate points.,843.463,2.897,846.36
302,"And just to be clear, these are going",846.36,3.27,849.63
303,"to belong to this class, which means",849.63,1.5,851.13
304,"that if you try to use this distance method on two lists,",851.13,3.18,854.31
305,"for example, you're going to get an error.",854.31,1.83,856.14
306,Because this distance method was only defined to work with two,856.14,3.12,859.26
307,coordinate type objects.,859.26,1.271,860.531
308,"All right, so let's carry on and continue",863.12,3.56,866.68
309,implementing our class.,866.68,2.07,868.75
310,"So we've written this first line so far,",868.75,2.55,871.3
311,class coordinate object.,871.3,1.34,872.64
312,So now let's define attributes.,872.64,3.1,875.74
313,First thing we're going to define are data attributes.,875.74,3.9,879.64
314,"Generally you define data attributes inside this init,",879.64,5.08,884.72
315,"and this is underscore, underscore, init, underscore,",884.72,2.48,887.2
316,"underscore, and it's a special method or function in a class.",887.2,5.31,892.51
317,"And the special method tells Python,",892.51,3.487,895.997
318,"when you implement the special method,",895.997,1.583,897.5799999999999
319,"it tells Python when you first create an object of this type,",897.58,3.36,900.94
320,call this method or call this function.,900.94,2.07,903.0100000000001
321,So how do we do that?,906.47,1.61,908.08
322,So let's implement it.,908.08,1.68,909.76
323,So we say df because it's just a function.,909.76,4.53,914.29
324,"The name is the special name, init.",914.29,3.3,917.5899999999999
325,"And we give it some parameters, right,",917.59,1.8,919.39
326,just like any other function.,919.39,3.29,922.68
327,"These last two parameters are x and y,",922.68,3.57,926.25
328,which are going to represent how you create a coordinate object.,926.25,5.09,931.34
329,So you give it a value for the x-coordinate,931.34,1.96,933.3000000000001
330,and you give it a value for the y-coordinate.,933.3,3.02,936.3199999999999
331,"The self, however, is a little bit trickier.",936.32,3.23,939.5500000000001
332,So the self is going to be a parameter when,939.55,2.54,942.0899999999999
333,you define this class that represents,942.09,2.79,944.88
334,a particular instance of the class.,944.88,4.95,949.83
335,So we're defining this coordinate object,949.83,2.67,952.5
336,"in sort of a general way, right?",952.5,2.04,954.54
337,We don't have a specific instance,954.54,2.13,956.67
338,yet because we haven't created an object yet.,956.67,3.18,959.8499999999999
339,But this self is going to be sort,959.85,2.16,962.01
340,of a placeholder for any sort of instance,962.01,2.82,964.83
341,when you create the object.,964.83,2.98,967.8100000000001
342,"So in the definition of the class,",967.81,2.51,970.3199999999999
343,whenever you want to refer to attributes,970.32,1.95,972.2700000000001
344,"that belong to an instance, you have to use self dot.",972.27,5.26,977.53
345,So this dot notation.,977.53,1.8,979.3299999999999
346,And the dot is going to say look for a data attribute,979.33,6.9,986.23
347,x that belongs to this class.,986.23,2.19,988.4200000000001
348,"So for methods that belong to the class,",991.24,2.81,994.05
349,the first parameter is always going to be self.,994.05,3.264,997.314
350,"It can be named anything you want,",997.314,1.416,998.73
351,but really by convention it's always named self.,998.73,3.06,1001.79
352,So try to stick to that.,1001.79,2.49,1004.28
353,And then any other parameters beyond it,1004.28,1.89,1006.17
354,are going to be just parameters as you,1006.17,1.74,1007.91
355,would put in a normal function.,1007.91,3.28,1011.1899999999999
356,OK.,1011.19,0.681,1011.8710000000001
357,"In this particular case, we're going",1011.871,1.499,1013.37
358,to choose to initialize a coordinate object,1013.37,2.97,1016.34
359,"by two values, one for the x and one for the y.",1016.34,4.47,1020.8100000000001
360,"And inside this init method, we're",1020.81,2.88,1023.6899999999999
361,going to have two assignments.,1023.69,4.149,1027.839
362,"The first one says, the x data attribute",1027.839,3.74,1031.579
363,of a coordinate object.,1031.579,1.411,1032.99
364,I'm going to assign it to whatever was passed in.,1032.99,4.599,1037.589
365,And the y data attribute for a particular object,1037.589,3.02,1040.609
366,is going to be assigned whatever y was passed in.,1040.609,2.911,1043.52
367,Questions so far about how to write this init?,1050.42,3.73,1054.15
368,"Yeah, question.",1054.15,0.85,1055.0
369,AUDIENCE: [INAUDIBLE],1055.0,0.97,1055.97
370,PROFESSOR: How do you make sure that x and y,1060.597,1.833,1062.43
371,are inits or floats?,1062.43,1.58,1064.01
372,So this is something that you could,1064.01,1.69,1065.7
373,"write in the specifications, so the docstring",1065.7,2.67,1068.3700000000001
374,with the triple quotes.,1068.37,1.2,1069.57
375,So whoever uses the class would then,1069.57,3.33,1072.8999999999999
376,"know that if they do something outside the specification,",1072.9,3.03,1075.93
377,the code might not work as expected.,1075.93,2.13,1078.0600000000002
378,Or you could put in a cert statement,1078.06,2.28,1080.34
379,inside the definition of the init just,1080.34,3.54,1083.8799999999999
380,to sort of force that.,1083.88,2.65,1086.5300000000002
381,Force that to be true.,1086.53,1.94,1088.47
382,Great question.,1088.47,0.725,1089.195
383,"Yeah, question.",1089.195,0.625,1089.82
384,AUDIENCE: [INAUDIBLE],1089.82,0.94,1090.76
385,"PROFESSOR: Does the x, does this self x and this x",1094.52,2.319,1096.839
386,have to be the same name.,1096.839,1.041,1097.8799999999999
387,The answer is no.,1097.88,1.83,1099.71
388,And we're going to see in class exercise,1099.71,2.55,1102.26
389,that you can have it be different.,1102.26,1.9,1104.16
390,OK.,1107.03,1.02,1108.05
391,Great.,1108.05,0.69,1108.74
392,So this defines the way that we create an object.,1108.74,5.52,1114.26
393,So now we have sort of a nice class.,1114.26,4.86,1119.12
394,"It's very simple, but we can start actually",1119.12,2.37,1121.4899999999998
395,creating coordinate objects.,1121.49,2.407,1123.897
396,"So when you create coordinate objects,",1123.897,1.583,1125.48
397,you're creating instances of the class.,1125.48,3.45,1128.93
398,"So this line here, C is equal to coordinate 3,4,",1128.93,3.51,1132.44
399,is going to call the init method.,1132.44,2.8,1135.24
400,It's going to call the init method with x is equal to 3,1135.24,2.94,1138.18
401,and y is equal to 4.,1138.18,1.2,1139.38
402,"I'm just going to go over here and I wrote this previously,",1141.94,5.25,1147.19
403,"because notice when we're creating an object here,",1147.19,6.79,1153.98
404,we're only giving it two parameters.,1153.98,2.91,1156.89
405,"But in the init method, we have actually three parameters,",1156.89,3.3,1160.19
406,right?,1160.19,0.87,1161.06
407,"We have these three parameters here,",1161.06,1.834,1162.894
408,"but when we're creating an object,",1162.894,1.416,1164.31
409,we only give it two parameters.,1164.31,1.64,1165.95
410,"And that's OK because implicitly, Python",1165.95,2.65,1168.6000000000001
411,"is going to say self is going to be this object C, so just",1168.6,3.23,1171.83
412,"by default, OK?",1171.83,1.487,1173.317
413,"So when you're creating a coordinate object,",1173.317,1.833,1175.15
414,you're passing it all the variables except for self.,1175.15,5.11,1180.26
415,So this line here is going to call the init,1184.93,2.42,1187.3500000000001
416,and it's going to do every line inside the init.,1187.35,2.39,1189.74
417,"So it's going to create an x data attribute for C,",1189.74,4.91,1194.65
418,"a y data attribute for C, and it's",1194.65,2.28,1196.93
419,going to assign 3 and 4 to those respectively.,1196.93,4.87,1201.8
420,"This next line here is origin equals coordinate 0,",1201.8,3.5,1205.3
421,0 creates another object.,1205.3,3.51,1208.81
422,OK?,1208.81,1.36,1210.1699999999998
423,It's another coordinate object whose value for x is 0,1210.17,3.6,1213.77
424,and whose value for y is 0.,1213.77,2.43,1216.2
425,So now we have two coordinate objects.,1216.2,3.01,1219.21
426,We can access the data attributes,1219.21,2.33,1221.54
427,"using this dot notation and we've seen that before, right?",1221.54,3.312,1224.8519999999999
428,"When we've worked with lists we'd say something like,",1224.852,2.208,1227.0600000000002
429,"L dot append, right, when we create a list.",1227.06,3.07,1230.1299999999999
430,So the same dot notation can be used with your own objects,1230.13,4.7,1234.8300000000002
431,in order to access data attributes.,1234.83,2.52,1237.35
432,"So here, this is going to print 3",1237.35,2.37,1239.7199999999998
433,"because the x value for object C is 3,",1239.72,7.46,1247.18
434,"and the next line, print origin x",1247.18,1.92,1249.1000000000001
435,is going to print 0 because the x value for the object origin,1249.1,4.05,1253.1499999999999
436,is 0.,1253.15,1.68,1254.8300000000002
437,OK.,1254.83,0.95,1255.78
438,So we've created a coordinate object.,1255.78,3.67,1259.45
439,We have to find the init method so we,1259.45,1.61,1261.06
440,have a way to create objects when we use the class.,1261.06,4.15,1265.21
441,And then we can access the data attributes.,1265.21,3.05,1268.26
442,"But that's kind of lame, right, because there isn't anything",1268.26,3.27,1271.53
443,cool we can do with it.,1271.53,1.03,1272.56
444,There isn't ways to interact with this object.,1272.56,3.23,1275.79
445,So let's add some methods.,1275.79,1.98,1277.77
446,Remember methods are going to be procedural attributes that,1277.77,3.9,1281.67
447,allow us to interact with our object.,1281.67,3.36,1285.03
448,Methods are like functions except that there's,1285.03,2.85,1287.8799999999999
449,a couple of differences which you'll see in a moment.,1287.88,2.91,1290.7900000000002
450,"And when you're calling methods, you're",1290.79,3.0,1293.79
451,"using the dot operator, like L dot append, for example,",1293.79,4.59,1298.3799999999999
452,for lists.,1298.38,0.54,1298.92
453,So let's go back to defining our coordinate class,1301.81,3.84,1305.6499999999999
454,and let's define a method for it.,1305.65,2.59,1308.24
455,"So so far we've defined that part there,",1308.24,2.67,1310.91
456,class coordinate and an init.,1310.91,1.53,1312.44
457,So we have that.,1312.44,1.35,1313.79
458,So in this slide we're going to add this method here.,1313.79,4.37,1318.1599999999999
459,So this method here is going to say,1318.16,1.77,1319.93
460,I'm going to define a method called distance,1319.93,4.35,1324.28
461,and I'm going to pass in two parameters.,1324.28,1.89,1326.17
462,"Remember self, the first parameter,",1326.17,2.55,1328.72
463,is always going to be the instance of an object,1328.72,2.61,1331.33
464,that you're going to perform the operation on.,1331.33,3.41,1334.74
465,So pretty much by convention it's always named self.,1334.74,4.89,1339.63
466,"And then for this particular method,",1342.7,2.31,1345.01
467,"I'm going to give it another parameter,",1345.01,1.98,1346.99
468,and I can name this whatever I want.,1346.99,2.42,1349.41
469,I'm naming it other.,1349.41,1.7,1351.1100000000001
470,And this is going to represent the other coordinate object,1351.11,3.08,1354.1899999999998
471,for which I want to find the distance from my self.,1354.19,3.952,1358.142
472,So here I'm going to just implement,1358.142,1.458,1359.6000000000001
473,"the Euclidean distance formula, which is x1 minus x2 squared,",1359.6,6.72,1366.32
474,"plus Y1 minus Y2 squared, and square root of all that.",1366.32,4.43,1370.75
475,So that's what I'm doing inside here.,1370.75,3.62,1374.37
476,Self and other are coordinate objects.,1374.37,1.885,1376.2549999999999
477,"Inside this method, I have to refer to the x data",1379.15,5.79,1384.94
478,attributes of each object if I want,1384.94,1.95,1386.89
479,to find the difference between the 2x values from them.,1386.89,4.33,1391.22
480,"So that's why I'm doing self dot x here, right.",1391.22,3.05,1394.27
481,"If I just did x, I would be accessing just some variable",1394.27,2.97,1397.24
482,named x in a program which actually isn't even defined.,1397.24,5.01,1402.25
483,So you always have to refer when as we're,1402.25,4.734,1406.984
484,"thinking about classes, you always",1406.984,1.416,1408.3999999999999
485,have to refer to whose data attribute,1408.4,2.37,1410.77
486,do you want to access?,1410.77,2.1,1412.87
487,"In this case, I want to access the x data",1412.87,2.13,1415.0
488,"attribute of my self, and I want to subtract the x data",1415.0,3.84,1418.84
489,"attribute of this other coordinate,",1418.84,2.43,1421.27
490,"square that, same for y, square that, and then add those",1421.27,4.47,1425.74
491,and take the square root of that.,1425.74,2.58,1428.32
492,"So notice this method is pretty much like a function, right?",1428.32,2.79,1431.11
493,"You have DF, some name, it takes in parameters.",1431.11,3.72,1434.83
494,It does some stuff and then it returns a value.,1434.83,3.09,1437.9199999999998
495,The only difference is the fact that you have a self here,1437.92,3.35,1441.27
496,as the first thing and the fact that you always,1441.27,3.58,1444.85
497,have to be conscious about whose data attributes,1444.85,2.91,1447.76
498,you're accessing.,1447.76,0.75,1448.51
499,So you have to use the dot notation in order,1452.14,1.94,1454.0800000000002
500,to decide whose data attributes you want access.,1454.08,3.76,1457.84
